,client id,file transfer round trip (ms)
,Client: 163.0,0.569484 ms
,Client: 164.0,0.558242 ms
,Client: 165.0,0.619815 ms
,Client: 166.0,0.58788 ms
,Client: 167.0,0.546745 ms
,Client: 168.0,0.566929 ms
,Client: 169.0,0.598354 ms
,Client: 170.0,0.695184 ms
,Client: 171.0,0.588645 ms
,Client: 172.0,0.530905 ms
,Client: 173.0,0.590689 ms
,Client: 174.0,0.51532 ms
,Client: 175.0,0.516598 ms
,Client: 176.0,0.626458 ms
,Client: 177.0,0.574082 ms
,Client: 178.0,0.580981 ms
,Client: 179.0,0.570506 ms
,Client: 180.0,0.5074 ms
,Client: 181.0,0.481084 ms
,Client: 182.0,0.483128 ms
,Client: 183.0,0.485172 ms
,Client: 184.0,0.540869 ms
,Client: 185.0,0.603464 ms
,Client: 186.0,0.593755 ms
,Client: 187.0,0.589923 ms
,Client: 188.0,0.544446 ms
,Client: 189.0,0.556454 ms
,Client: 190.0,0.510466 ms
,Client: 191.0,0.652773 ms
,Client: 192.0,1.742177 ms
,Client: 193.0,0.592478 ms
,Client: 194.0,0.494371 ms
,Client: 195.0,0.590689 ms
,Client: 196.0,0.488494 ms
,Client: 197.0,0.528606 ms
,Client: 198.0,0.656095 ms
,Client: 199.0,0.567696 ms
,Client: 200.0,0.482618 ms
,Client: 201.0,0.566418 ms
,Client: 202.0,0.550833 ms
,Client: 203.0,0.568462 ms
,Client: 204.0,0.576893 ms
,Client: 205.0,0.530139 ms
,Client: 206.0,0.61445 ms
,Client: 207.0,0.545979 ms
,Client: 208.0,0.538314 ms
,Client: 209.0,0.599632 ms
,Client: 210.0,0.585835 ms
,Client: 211.0,0.518642 ms
,Client: 212.0,0.572549 ms
,Client: 213.0,0.498203 ms
,Client: 214.0,0.595544 ms
,Client: 215.0,0.568973 ms
,Client: 216.0,0.598098 ms
,Client: 217.0,0.487727 ms
,Client: 218.0,0.668358 ms
,Client: 219.0,0.553643 ms
,Client: 220.0,0.599121 ms
,Client: 221.0,0.598354 ms
,Client: 222.0,0.565907 ms
,Client: 223.0,0.514809 ms
,Client: 224.0,0.60142 ms
,Client: 225.0,0.582003 ms
,Client: 226.0,0.532183 ms
,Client: 227.0,0.643064 ms
,Client: 228.0,0.519663 ms
,Client: 229.0,0.640509 ms
,Client: 230.0,0.52043 ms
,Client: 231.0,0.594267 ms
,Client: 232.0,0.555687 ms
,Client: 233.0,0.59631 ms
,Client: 234.0,0.65124 ms
,Client: 235.0,0.725077 ms
,Client: 236.0,0.49948 ms
,Client: 237.0,0.455536 ms
,Client: 238.0,0.607552 ms
,Client: 239.0,0.556199 ms
,Client: 240.0,0.436885 ms
,Client: 241.0,0.64843 ms
,Client: 242.0,0.484662 ms
,Client: 243.0,0.591967 ms
,Client: 244.0,0.581237 ms
,Client: 245.0,0.570506 ms
,Client: 246.0,0.512766 ms
,Client: 247.0,0.704126 ms
,Client: 248.0,0.61445 ms
,Client: 249.0,0.585579 ms
,Client: 250.0,0.553133 ms
,Client: 251.0,0.545468 ms
,Client: 252.0,0.726354 ms
,Client: 253.0,1.178569 ms
,Client: 254.0,0.664781 ms
,Client: 255.0,0.714346 ms
,Client: 256.0,0.603719 ms
,Client: 257.0,0.587368 ms
,Client: 258.0,0.588646 ms
,Client: 259.0,0.540614 ms
,Client: 260.0,0.460135 ms
,Client: 261.0,0.514298 ms
,Client: 262.0,0.592989 ms
,Client: 263.0,0.557476 ms
,Client: 264.0,0.513276 ms
,Client: 265.0,0.58558 ms
,Client: 266.0,0.608062 ms
,Client: 267.0,0.55441 ms
,Client: 268.0,0.517875 ms
,Client: 269.0,0.530649 ms
,Client: 270.0,0.581747 ms
,Client: 271.0,0.506123 ms
,Client: 272.0,0.572294 ms
,Client: 273.0,0.5516 ms
,Client: 274.0,0.586346 ms
,Client: 275.0,0.623647 ms
,Client: 276.0,0.519408 ms
